metriques_detecte,score_metriques,cpu_mean,cpu_max,cpu_std,mem_mean,mem_max,lat_p99_mean,lat_p99_max,net_rx_total,net_tx_total,logs_detecte,score_logs,nb_logs,traces_detecte,score_traces,nb_spans,duree_moy_spans,duree_max_spans,duree_std_spans,fault_type,systeme
1,0.6942260935014921,1.443776223812473,13.96407908736094,2.1704836455409153,18.16893257472826,37.266015625,0.111049375,0.9600000000000002,264931.5431422865,1890656.8621875774,0,0.045347859847011285,2435,1,0.12170978627671541,4445,0.02168777435320585,0.612959,0.0654287282566552,return,train_ticket
1,1.1615532298110425,1.5530950019341807,11.86072167059286,2.0929303788050015,18.173641304347825,37.275000000000006,0.11603676356589147,0.9925,224399.67013711017,1679991.2595568483,1,0.14476329571697322,2622,1,0.18422661503973914,4907,0.02945281434685144,2.377952,0.11356701411024062,return,train_ticket
1,1.1518137898599292,1.184426157671257,6.829749551326579,1.2631760289014669,18.169955842391303,37.0822265625,0.11433850427350425,0.8949999999999999,217213.3723905783,1903438.4625743977,1,0.12238236579831974,2795,0,0.11844166014095536,5108,0.019900946162881752,0.8409,0.0610757466660201,return,train_ticket
1,0.9833585926875585,1.4473694121816136,9.967709971846382,1.7941728660731582,18.185372792119566,36.2083984375,0.14377264227642275,0.97,225745.98177831236,1787802.0212214803,1,0.12377833172937769,5381,1,0.1819779361515181,10243,0.03165526144684175,1.571368,0.10082454667823937,return,train_ticket
1,1.6023180629983709,1.3521272633558288,8.530627088214509,1.6953228171061328,18.214546535326086,36.2083984375,0.10962010964912279,0.99,175076.69710949497,1890231.6787363137,0,0.031158446070134627,1473,1,0.17875920084121977,2853,0.031910424465474936,0.928208,0.09875779789725501,return,train_ticket
1,1.0378260090943296,1.4354144336176986,10.1421411359235,1.6561942624126653,18.209901494565212,35.872265625,0.12574201298701293,0.98,232063.2408561433,1788462.8312488212,1,0.12727465755452327,2336,1,0.1286563071297989,4376,0.02524842253199269,0.626194,0.07378054685216653,return,train_ticket
1,1.171390990110629,1.19830153860093,8.678510738031555,1.40128978363472,18.21628311820652,35.590429687500006,0.13800094017094017,0.9925,232419.59223819265,2058934.1756316454,1,0.09543835936253431,1744,1,0.20615384615384616,3250,0.03988517784615384,1.084769,0.12316327252045073,return,train_ticket
1,8.269374368831281,1.8394131419158808,46.13921531006539,6.71602096129912,18.221976902173914,35.630859375,0.1264176528599605,0.9749999999999998,156628.61380010968,1843100.387688984,1,0.1525131730841871,1867,1,0.15409642117716651,3381,0.025906262644188112,0.922569,0.08169209642925163,return,train_ticket
1,6.692496976867483,2.569623827084956,27.32121129194201,5.1140152170766715,18.241151494565216,35.62421875,0.22814457364341087,2.41,337006.51996141195,2101476.0439943913,1,0.1504757910621901,2900,1,0.1875815774752937,5363,0.031908088196904716,1.556768,0.11191622365206916,return,train_ticket
1,0.4834197992837026,1.4683406487222512,6.857740647551988,1.4098887910279767,18.252093240489128,35.3509765625,0.13240232723577236,0.99,216039.3782657503,1923900.122556151,1,0.12723303674208752,2845,1,0.1446028513238289,5401,0.022958194223291983,0.845128,0.07159952283635651,return,train_ticket
