metriques_detecte,logs_detecte,traces_detecte,score_metriques,score_logs,score_traces,nb_logs,nb_spans,duree_moy_spans,fault_type,systeme
1,0,1,0.6942260935014921,0.045347859847011285,0.12170978627671541,2435,4445,0.02168777435320585,return,train_ticket
1,1,1,1.1615532298110425,0.14476329571697322,0.18422661503973914,2622,4907,0.02945281434685144,return,train_ticket
1,1,0,1.1518137898599292,0.12238236579831974,0.11844166014095536,2795,5108,0.019900946162881752,return,train_ticket
1,1,1,0.9833585926875585,0.12377833172937769,0.1819779361515181,5381,10243,0.03165526144684175,return,train_ticket
1,0,1,1.6023180629983709,0.031158446070134627,0.17875920084121977,1473,2853,0.031910424465474936,return,train_ticket
1,1,1,1.0378260090943296,0.12727465755452327,0.1286563071297989,2336,4376,0.02524842253199269,return,train_ticket
1,1,1,1.171390990110629,0.09543835936253431,0.20615384615384616,1744,3250,0.03988517784615384,return,train_ticket
1,1,1,8.269374368831281,0.1525131730841871,0.15409642117716651,1867,3381,0.025906262644188112,return,train_ticket
1,1,1,6.692496976867483,0.1504757910621901,0.1875815774752937,2900,5363,0.031908088196904716,return,train_ticket
1,1,1,0.4834197992837026,0.12723303674208752,0.1446028513238289,2845,5401,0.022958194223291983,return,train_ticket
0,1,1,0.0,0.05523138854167242,0.16017473607571897,1343,2747,0.02559459301055697,return,train_ticket
1,1,1,10.34568608430517,0.06492135504579455,0.18555352002093692,1954,3821,0.028825989531536245,return,train_ticket
1,1,1,0.40753330575204383,0.05626670046118476,0.1293599729089062,1385,2953,0.026744463257704028,return,train_ticket
1,1,1,4.511421462658616,0.05605875269932026,0.16649214659685863,1353,2865,0.025942275043630017,return,train_ticket
1,1,1,0.007487237917395584,0.05207499348557543,0.21013597033374537,2068,4045,0.04123982521631644,return,train_ticket
1,1,1,1.7655153057524797,0.06008370716290079,0.15737298636926889,830,1614,0.02474851982651797,return,train_ticket
1,0,1,0.18374304812439202,0.01975095779410052,0.13979591836734695,2033,3920,0.02497801198979592,return,train_ticket
1,1,1,0.057429571823614634,0.12346220093946536,0.16414456115364073,2993,5617,0.0292973558839238,return,train_ticket
1,0,1,0.19195121734431586,0.03832662832119205,0.1848054679284963,1895,3804,0.027005910620399576,exception,train_ticket
1,1,1,0.3536064452613463,0.05084802590095494,0.12458379578246392,1898,3604,0.020932325194228635,exception,train_ticket
1,0,1,0.6251660004720914,0.027865261847572875,0.16996356064549714,2023,3842,0.027354085111920876,exception,train_ticket
1,0,1,1.6463604603828037,0.014316942358547524,0.1932245922208281,1727,3188,0.030873831869510666,return,train_ticket
1,0,0,0.6746825185312795,0.014654633711560061,0.10722208528469312,2326,4057,0.02094047892531427,return,train_ticket
1,1,1,0.3468208266857029,0.09577198281543642,0.19445425644648534,3035,5662,0.036765192334864,return,train_ticket
1,1,1,0.9644601030045994,0.08078554999073972,0.12589073634204276,314,842,0.01815188598574822,return,train_ticket
1,1,1,10.149457945649598,0.07036357056714349,0.17958783120706576,450,1019,0.027047098135426894,return,train_ticket
1,0,1,4.778017054263374,0.02562444925174623,0.15966655979480604,1623,3119,0.023136913754408465,return,train_ticket
1,1,0,3.81580859453093,0.1327139446000456,0.11843825892023165,2917,5353,0.01920781916682234,return,train_ticket
1,1,1,16.593257313644354,0.07613598271448407,0.14906079579882853,2628,4951,0.02052387416683498,return,train_ticket
1,0,1,0.5342393714958829,0.03387514965932248,0.20814977973568283,2452,4540,0.03311703568281938,return,train_ticket
1,0,1,0.4278938209948815,0.014614197860833289,0.15597287428273343,2001,3834,0.03182324673969744,return,train_ticket
1,1,1,0.6113518245362828,0.05791639591570075,0.17966493356441363,2760,5193,0.02572676968996726,return,train_ticket
1,0,1,0.4249179440591331,0.04980927391240286,0.17718028266115132,1515,2901,0.02876413926232334,return,train_ticket
1,1,1,0.009265842195639085,0.05366356189079913,0.2243231628706489,2394,4654,0.03607890954018049,return,train_ticket
1,1,1,1.3471015767974397,0.051559477284540245,0.15154675008689608,1448,2877,0.027645693083072645,return,train_ticket
1,1,1,1.0705645463747686,0.05226954105724124,0.21733333333333332,1119,2250,0.03897882133333334,return,train_ticket
1,1,1,10.892882162459106,0.06175528733567648,0.2093321917808219,1138,2336,0.0333002495719178,exception,train_ticket
1,0,1,0.012234191268690964,0.04995338313837083,0.18922120225051822,1766,3377,0.035349752146875926,exception,train_ticket
1,1,1,1.8631553699956762,0.05155321009960512,0.1721111652852267,2129,4102,0.024696577035592398,exception,train_ticket
1,0,1,6.7770134494636975,0.048891080019235256,0.1678720140258602,2451,4563,0.025355382862152095,exception,train_ticket
1,0,1,6.032402785153492,0.049053149157976206,0.15593859412873687,1938,3713,0.025449337193643954,exception,train_ticket
1,1,1,1.9032283498969904,0.05259282862967951,0.27335047129391604,1161,2334,0.04470675064267353,exception,train_ticket
1,1,1,0.22479510478858034,0.07586294176522834,0.14072847682119205,244,604,0.02534948344370861,exception,train_ticket
