date,window,timestamp_start,is_anomaly,faulty_service,fault_type,inject_time,minutes_since_inject,inject_pod
2023-01-29,08_43,1674999784,1,ts-contacts-service,return,2023-01-29 08:43:04,0,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_44,1674999784,1,ts-contacts-service,return,2023-01-29 08:43:04,1,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_45,1674999784,1,ts-contacts-service,return,2023-01-29 08:43:04,2,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_52,1675000326,1,ts-contacts-service,return,2023-01-29 08:52:06,0,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_53,1675000326,1,ts-contacts-service,return,2023-01-29 08:52:06,1,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_54,1675000326,1,ts-contacts-service,return,2023-01-29 08:52:06,2,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_58,1675000696,1,ts-contacts-service,return,2023-01-29 08:58:16,0,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,08_59,1675000696,1,ts-contacts-service,return,2023-01-29 08:58:16,1,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,09_00,1675000696,1,ts-contacts-service,return,2023-01-29 08:58:16,2,ts-contacts-service-866bd68c97-xcqfx
2023-01-29,09_03,1675001033,1,ts-basic-service,return,2023-01-29 09:03:53,0,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_04,1675001033,1,ts-basic-service,return,2023-01-29 09:03:53,1,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_05,1675001033,1,ts-basic-service,return,2023-01-29 09:03:53,2,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_12,1675001576,1,ts-basic-service,return,2023-01-29 09:12:56,0,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_13,1675001576,1,ts-basic-service,return,2023-01-29 09:12:56,1,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_14,1675001576,1,ts-basic-service,return,2023-01-29 09:12:56,2,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_21,1675002099,1,ts-basic-service,return,2023-01-29 09:21:39,0,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_22,1675002099,1,ts-basic-service,return,2023-01-29 09:21:39,1,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_23,1675002099,1,ts-basic-service,return,2023-01-29 09:21:39,2,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_25,1675002339,1,ts-basic-service,exception,2023-01-29 09:25:39,0,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_26,1675002339,1,ts-basic-service,exception,2023-01-29 09:25:39,1,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_27,1675002339,1,ts-basic-service,exception,2023-01-29 09:25:39,2,ts-basic-service-5dc8d4f9fd-46997
2023-01-29,09_30,1675002609,1,ts-food-service,return,2023-01-29 09:30:09,0,ts-food-service-f5756978c-k8vqf
2023-01-29,09_31,1675002609,1,ts-food-service,return,2023-01-29 09:30:09,1,ts-food-service-f5756978c-k8vqf
2023-01-29,09_32,1675002609,1,ts-food-service,return,2023-01-29 09:30:09,2,ts-food-service-f5756978c-k8vqf
2023-01-29,09_34,1675002859,1,ts-food-service,return,2023-01-29 09:34:19,0,ts-food-service-f5756978c-k8vqf
